Daily orders extract - ACME GmbH,,,,
Report period: 2026-07-01 to 2026-07-16,,,,
order_id,region,amount,order_date,status
1001,North," $ 1,200.50 ",2026-07-01,shipped
1002,," $ 89.99 ",2026-07-01,shipped
1003,," $ 340.00 ",2026-07-02,shipped
1004,South," $ 1,005.25 ",02.07.2026,pending
1005,," $ 77.10 ",2026-07-03,NA
1005,," $ 78.00 ",2026-07-03,pending
1006,East," $ 2,450.00 ",2026-07-04,shipped
1007,," $ 15.75 ",04.07.2026,cancelled
1008,,NA,2026-07-05,pending
1009,West," $ 512.40 ",2026-07-08,shipped
1010,," $ 33.00 ",09.07.2026,shipped
1011,," $ 1,750.00 ",2026-07-10,pending
1012,North," $ 240.80 ",2026-07-14,shipped
1013,," $ 66.90 ",2026-07-15,shipped
1014,South," $ 910.00 ",16.07.2026,NA
TOTAL,,"8,769.69",,
